-0.1,-0.1,0,0,-0.002
-0.075,-0.1,0,0,-0.0015
-0.05,-0.1,0,0,-0.001
-0.025,-0.1,0,0,-0.0005
0,-0.1,0,0,0
0.025,-0.1,0,0,0.0005
0.05,-0.1,0,0,0.001
0.075,-0.1,0,0,0.0015
-0.1,-0.075,0,0,-0.002
-0.075,-0.075,0,0,-0.0015
-0.05,-0.075,0,0,-0.001
-0.025,-0.075,0,0,-0.0005
0,-0.075,0,0,0
0.025,-0.075,0,0,0.0005
0.05,-0.075,0,0,0.001
0.075,-0.075,0,0,0.0015
-0.1,-0.05,0,0,-0.002
-0.075,-0.05,0,0,-0.0015
-0.05,-0.05,0,0,-0.001
-0.025,-0.05,0,0,-0.0005
0,-0.05,0,0,0
0.025,-0.05,0,0,0.0005
0.05,-0.05,0,0,0.001
0.075,-0.05,0,0,0.0015
-0.1,-0.025,0,0,-0.002
-0.075,-0.025,0,0,-0.0015
-0.05,-0.025,0,0,-0.001
-0.025,-0.025,0,0,-0.0005
0,-0.025,0,0,0
0.025,-0.025,0,0,0.0005
0.05,-0.025,0,0,0.001
0.075,-0.025,0,0,0.0015
-0.1,0,0,0,-0.002
-0.075,0,0,0,-0.0015
-0.05,0,0,0,-0.001
-0.025,0,0,0,-0.0005
0,0,0,0,0
0.025,0,0,0,0.0005
0.05,0,0,0,0.001
0.075,0,0,0,0.0015
-0.1,0.025,0,0,-0.002
-0.075,0.025,0,0,-0.0015
-0.05,0.025,0,0,-0.001
-0.025,0.025,0,0,-0.0005
0,0.025,0,0,0
0.025,0.025,0,0,0.0005
0.05,0.025,0,0,0.001
0.075,0.025,0,0,0.0015
-0.1,0.05,0,0,-0.002
-0.075,0.05,0,0,-0.0015
-0.05,0.05,0,0,-0.001
-0.025,0.05,0,0,-0.0005
0,0.05,0,0,0
0.025,0.05,0,0,0.0005
0.05,0.05,0,0,0.001
0.075,0.05,0,0,0.0015
-0.1,0.075,0,0,-0.002
-0.075,0.075,0,0,-0.0015
-0.05,0.075,0,0,-0.001
-0.025,0.075,0,0,-0.0005
0,0.075,0,0,0
0.025,0.075,0,0,0.0005
0.05,0.075,0,0,0.001
0.075,0.075,0,0,0.0015
